restaurant_name,location,cuisine,estimated_cost,rating
HungerLoft,btm,"north indian, chinese, arabian",800.0,2.5
Zero Kelvin,koramangala 4th block,"desserts, beverages",450.0,4.3
Ocean,koramangala 6th block,"mexican, continental, italian, chinese",700.0,3.8
Kulfi & More,btm,"ice cream, beverages",200.0,3.7
Sagar Fast Food,btm,"south indian, chinese, north indian",300.0,3.7
Subham Pal Kitchen,koramangala 1st block,"north indian, chinese",300.0,3.3
The Retro,koramangala 7th block,"chinese, burger",300.0,3.2
Raj Darbar,koramangala 6th block,"north indian, chinese, bengali",800.0,3.7
Akshaya Grand,btm,north indian,750.0,3.4
House Of Commons,koramangala 5th block,"continental, asian, north indian",1000.0,4.8
Happy Brew,koramangala 5th block,"continental, american, chinese, bbq, salad",1000.0,4.0
Krishna Grand,hsr,south indian,200.0,3.2
Namms Cafe,koramangala 2nd block,"biryani, south indian, fast food, rolls, kebab, north indian",300.0,3.1
M World Cafe,koramangala 1st block,cafe,500.0,3.5
Namaste Kitchen,koramangala 5th block,"north indian, south indian, chinese",400.0,3.8
India On Wheels,koramangala 3rd block,north indian,400.0,3.6
Naati Biriyani,btm,"kebab, biryani",300.0,3.1
California Burrito,koramangala 5th block,"mexican, fast food",400.0,4.1
Royal Treat,koramangala 5th block,"north indian, chinese, biryani",500.0,4.1
Moghul Durbar Restaurant,jayanagar,"north indian, bbq, kebab, rolls",550.0,4.0
Checkpost,jp nagar,"south indian, seafood, north indian, beverages",600.0,4.1
Anjappar,koramangala 4th block,"chettinad, south indian",650.0,3.9
Nandhana Palace,koramangala 4th block,"andhra, biryani, north indian, chinese",800.0,4.1
Indian Coffee House & Restaurant,koramangala 5th block,"south indian, north indian, chinese",650.0,4.1
Samosa Party,koramangala 5th block,"street food, fast food",150.0,4.1
Johnny Fox,hosur road,"north indian, chinese",1500.0,3.9
Baba Da Dhaba,koramangala 7th block,north indian,650.0,4.1
The ThickShake Factory,koramangala 7th block,"beverages, juices",350.0,4.3
Navya Andhra Style Restaurant,hosur road,"north indian, south indian",200.0,3.5
Hari Super Sandwich,jayanagar,"fast food, street food",200.0,4.0
Taj Durbar,jayanagar,"north indian, bbq",400.0,3.8
Hatti Punjab Di,hsr,"north indian, chinese",600.0,3.3
Hyderabad Bawarchi,jayanagar,"north indian, biryani, chinese",800.0,3.9
Shree Thali,koramangala 5th block,north indian,150.0,4.0
Gundappa Donne Biryani,koramangala 7th block,biryani,200.0,3.1
Ambur Biryani,koramangala 3rd block,"biryani, chinese",250.0,3.5
Panjabi Dhaba,bommanahalli,"north indian, chinese",300.0,3.2
Star Kitchen,bommanahalli,"chinese, north indian, biryani",150.0,3.3
North Indian And Bengali Mess,koramangala 5th block,"north indian, bengali",300.0,3.7
The Donut Baker,koramangala 7th block,desserts,150.0,3.8
Food Theory,hsr,"biryani, north indian, italian, chinese, sandwich, desserts",500.0,2.6
Momos Corner,hsr,chinese,250.0,3.3
Rotti Mane,jayanagar,south indian,200.0,3.6
Meal In A Box,koramangala 7th block,street food,300.0,3.6
Multi Cakes,jp nagar,"bakery, desserts",200.0,3.7
Cake Art,jp nagar,bakery,400.0,2.9
Pai's Kitchen,koramangala 2nd block,south indian,200.0,3.5
Good Bread,jp nagar,"bakery, desserts",300.0,3.6
UNIK Food,jayanagar,"north indian, chinese",300.0,3.3
Adi's Cake N Cafe,bannerghatta road,bakery,400.0,3.3
Kyakhanahai,koramangala 5th block,"north indian, south indian",400.0,3.4
Le Rosa Restaurant,hsr,"north indian, mughlai, biryani",700.0,3.2
Mysore Carnival Restaurant,koramangala 6th block,"chinese, kerala, north indian, south indian",350.0,3.8
SVR Foods - Night Ka Khana,jp nagar,"north indian, south indian",400.0,3.5
Ronnie's Kitchen,koramangala 5th block,chinese,200.0,3.1
The Tower Of Pizza,koramangala 5th block,"pizza, italian",500.0,2.9
Indian Dhaba,hsr,"north indian, chinese",450.0,3.3
Banashankari Donne Biriyani,koramangala 7th block,"south indian, biryani",300.0,3.3
S.W.A.T Food Truck,koramangala 5th block,"american, fast food",250.0,3.7
The Little Kitchen,jayanagar,"chinese, momos",300.0,3.8
The Night King,koramangala 7th block,"north indian, chinese",400.0,3.3
Niice Cream,koramangala 5th block,"ice cream, beverages, desserts",400.0,3.8
Prakruthi Restaurant,bommanahalli,"andhra, north indian",400.0,3.2
Chai Mane,koramangala 5th block,"juices, fast food",150.0,3.0
Desi Breakk,hsr,north indian,150.0,3.3
TGS Retails,hsr,"bakery, desserts",600.0,3.3
Grand Chillies,hsr,"north indian, chinese, biryani",400.0,3.4
Kanha's Kafe,koramangala 5th block,"awadhi, bihari, fast food, ice cream, mithai",200.0,3.5
FrostBite,koramangala 5th block,"desserts, fast food",400.0,3.5
Jodhpur Jaika,bommanahalli,"north indian, street food",200.0,3.3
Lets cafe,koramangala 5th block,"chinese, north indian",250.0,3.5
Homfrez.com,koramangala 1st block,"biryani, chettinad, kerala, maharashtrian, north indian",400.0,3.4
Malabar Mint,koramangala 5th block,"kerala, north indian, chinese",700.0,3.4
The Denny's,jayanagar,"north indian, chinese",900.0,3.7
Sri Lakshmi Dhaba,bommanahalli,"north indian, chinese",300.0,3.0
Hotel Palace,hsr,"biryani, chinese",250.0,3.7
Desi Vdesi,btm,"fast food, north indian, rolls",250.0,3.8
Tasty Khaana Khazana,bommanahalli,north indian,300.0,3.3
Chaai Resto,koramangala 5th block,beverages,300.0,2.7
House Of Lassi,bommanahalli,"beverages, fast food",250.0,3.6
Lassi Pot,hsr,beverages,100.0,3.3
Aaranya Restaurant,hsr,"north indian, chinese, mughlai",800.0,3.4
Kerala Mess,koramangala 1st block,kerala,200.0,3.4
Hot & Cold Hut,koramangala 4th block,"fast food, rolls, juices",200.0,3.0
Sreeraj Lassi Bar,btm,beverages,150.0,4.0
Cilantro,koramangala 4th block,"european, american, continental, north indian, steak",1500.0,4.0
The Open Cafe,hsr,"cafe, chinese, continental",500.0,3.7
Rimo,koramangala 5th block,"tibetan, asian, momos",500.0,3.9
Hot Cross Bun,koramangala 6th block,fast food,500.0,3.3
Bullet Biryani,btm,biryani,300.0,3.2
Bajji House,hsr,street food,100.0,3.5
Biryani Spot,btm,"south indian, biryani",300.0,3.5
Desserts Tree,koramangala 1st block,"mithai, desserts",100.0,3.8
Om Sweets & Snacks,koramangala 5th block,"mithai, oriya, bengali",150.0,3.9
Momos Corner,bommanahalli,"chinese, rolls, momos",250.0,3.1
Healthy Yummy Food Restaurant,hsr,"beverages, north indian, chinese, italian",900.0,3.6
Shabari Kitchen,koramangala 1st block,"south indian, chinese",150.0,3.5
#L-81 Cafe,hsr,"fast food, beverages",400.0,3.9
House Of Wholewheat,koramangala 1st block,"bakery, desserts",200.0,3.1
Dabba Karkhana,btm,north indian,300.0,3.5
Hotel Tadaka House,bommanahalli,"north indian, chinese, biryani",300.0,3.4
Eat Sleep Eat Repeat,koramangala 5th block,"chinese, north indian, continental",200.0,3.5
Aroma Fine Dine,hsr,"north indian, mughlai, chinese, south indian",900.0,4.0
Amma's Pastries,btm,"bakery, desserts",400.0,4.2
Choco Cheese,btm,"desserts, beverages",300.0,4.4
eat.fit,btm,"healthy food, north indian, biryani, continental, desserts",500.0,4.5
Coco Barista,btm,"cafe, burger, rolls, beverages",400.0,3.7
Waffle Head,btm,"desserts, beverages",300.0,4.0
Kanti Sweets,btm,"mithai, street food",400.0,4.2
Laddoos,btm,"street food, mithai",200.0,3.4
Keventers,btm,"beverages, desserts, ice cream",400.0,3.8
Shri Ram Sweet Centre,btm,"street food, mithai",150.0,4.0
Hang10 Resto N Cafe,btm,"north indian, chinese, beverages",800.0,3.8
Just Bake,btm,bakery,400.0,3.3
Sweet Truth,btm,"bakery, desserts",500.0,4.0
New Surya Sweets & Snacks,btm,"mithai, fast food",300.0,3.5
Sri Devi Baker's,btm,"bakery, street food",200.0,3.9
KC Das - The Delite Foods,btm,"mithai, street food",200.0,3.3
Jodhpur Sweets & Corner,btm,"desserts, street food, mithai",200.0,3.7
Svadu Sweets & Savouries,btm,"street food, mithai",200.0,3.7
Freeze It,btm,desserts,300.0,3.6
Bangali Babu Restaurant,btm,"mithai, desserts, fast food",250.0,3.2
Kulfi & More,btm,ice cream,100.0,3.7
Jigarthanda,btm,"fast food, desserts, rolls",200.0,3.6
Gelato Pazzo,btm,desserts,200.0,3.8
Calvin's,btm,desserts,600.0,3.7
New Surya Sweets & Snacks,btm,"mithai, street food",350.0,3.2
Gelato Italiano,btm,"ice cream, bakery, desserts",200.0,3.7
Kurtoskalacs,koramangala 5th block,"desserts, fast food",400.0,4.6
Lot Like Crepes,koramangala 7th block,"desserts, continental",550.0,4.6
99 Pancakes,koramangala 5th block,"desserts, beverages, cafe, ice cream",300.0,4.5
The Belgian Waffle Co.,koramangala 5th block,"desserts, beverages",350.0,4.2
Polar Bear,jp nagar,"desserts, ice cream, beverages, sandwich",400.0,4.2
Frozen Bottle,koramangala 5th block,"beverages, desserts, ice cream",400.0,4.1
Krispy Kreme,koramangala 7th block,"desserts, beverages",300.0,4.2
Banchharam,koramangala 7th block,"street food, mithai",200.0,3.9
Cream Stone,koramangala 5th block,"desserts, ice cream, beverages",500.0,4.2
Baskin Robbins,koramangala 7th block,"ice cream, desserts",300.0,4.1
The Waffles Hut,koramangala 5th block,"desserts, beverages",400.0,3.8
Lassi Shop,koramangala 5th block,"beverages, ice cream",200.0,4.1
WAFL,bannerghatta road,"desserts, beverages, american",400.0,4.0
Smooth,bannerghatta road,"desserts, ice cream",500.0,3.7
Iyengar's Bakery,koramangala 6th block,"bakery, fast food",200.0,3.5
Cafe Arabica,bannerghatta road,"cafe, bakery, arabian, fast food",700.0,3.8
Sri Annapoorna Bajji Center,jayanagar,"mithai, street food",100.0,3.9
Bunny Bakers,jayanagar,"bakery, fast food",250.0,3.6
Tummy Fuel,jayanagar,"cafe, beverages, fast food, street food",400.0,4.1
Karachi Bakery,koramangala 5th block,"bakery, fast food, desserts",400.0,3.4
Gruhalakshmi Home Foods,bommanahalli,mithai,250.0,3.3
Bake The Cake,bommanahalli,"bakery, fast food, beverages",250.0,3.2
Me And My Cake,bommanahalli,"bakery, desserts",500.0,3.2
Arafa Juice Center,koramangala 5th block,"juices, desserts, fast food",250.0,3.5
Shree Mithai,koramangala 7th block,"desserts, street food, mithai",150.0,3.3
Meraki Patisserie,jayanagar,"bakery, desserts",350.0,3.3
Mother Nature Kulfi,jayanagar,"desserts, ice cream",200.0,3.6
Cream N Desserts,koramangala 7th block,"desserts, beverages",400.0,3.7
Cake Yard,koramangala 7th block,desserts,250.0,2.9
Sangam Sweets,koramangala 3rd block,"mithai, street food",200.0,3.8
A2B - Adyar Ananda Bhavan,btm,"south indian, north indian, chinese, street food, fast food",400.0,3.8
Brother?s Bar & Kitchen,btm,"chinese, north indian",1000.0,3.4
Zam Zam Darbar,btm,"north indian, biryani, chinese",500.0,2.9
Mayur,btm,"andhra, north indian, chinese",500.0,3.6
Golden Grill Restaurant,btm,"arabian, chinese, north indian, kerala, seafood",550.0,3.5
Zanzibar - Davanam Sarovar Portico Suites,btm,finger food,1200.0,3.5
Seekers Cafe,btm,"italian, continental",500.0,3.6
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,btm,"biryani, north indian",450.0,3.7
Ma-Arya Family Restaurant,btm,"biryani, south indian, north indian, chinese, andhra",600.0,3.1
Sri Durga Cane Fresh,btm,"juices, beverages, fast food",100.0,3.4
Benzys,btm,"arabian, chinese, hyderabadi, kerala",700.0,3.2
Nanna Munna,btm,"north indian, chinese",200.0,3.4
Bamboo Heights,btm,"chinese, fast food, continental",500.0,3.7
Chai Point,btm,"tea, beverages, fast food",250.0,4.0
Pizza Hut,btm,"pizza, fast food",750.0,3.3
Ambur Star Briyani,btm,"biryani, kebab",400.0,3.5
KFC,btm,"burger, fast food",400.0,3.9
Domino's Pizza,btm,"pizza, fast food",400.0,4.1
Faasos,btm,"north indian, biryani, fast food",500.0,3.9
New Limra Hotel,btm,"south indian, biryani, fast food",200.0,3.4
Bangalore Star Biriyani,btm,"biryani, chinese, north indian",300.0,3.4
Kabab Magic,btm,"north indian, kebab, fast food",500.0,3.9
Just Shawarma,btm,arabian,300.0,3.9
Zeeshan,btm,"north indian, mughlai, biryani, rolls",700.0,2.8
Kesar Sweet Shop and Fast Food,btm,"north indian, south indian, chinese, street food, mithai",500.0,4.0
New Kabab Zone,btm,"north indian, fast food",500.0,3.5
McDonald's,btm,"burger, fast food",500.0,3.6
Udupi Gokul Cafe,btm,south indian,300.0,3.8
Namma Kadai,btm,south indian,150.0,3.4
Nellore Dosa Camp,btm,"andhra, south indian",70.0,3.3
Sri Saravana Bhavan,btm,south indian,200.0,3.7
Gangothri Kabab Corner,btm,north indian,400.0,3.1
Thalassery Cafe,btm,street food,150.0,3.4
Cafe 58,btm,"fast food, biryani",200.0,3.4
Five Star Chicken,btm,fast food,350.0,3.5
Mangalore Lunch Home,btm,"north indian, south indian, mangalorean",250.0,3.6
Meat And Eat,btm,"fast food, burger",500.0,3.1
Sri Vishnupriya,btm,"south indian, north indian, chinese",300.0,3.0
Aarya Pork Hotel,btm,"south indian, biryani, chinese",300.0,3.3
Sri Krishna Sagar,btm,"south indian, north indian, chinese",200.0,3.6
Pout,btm,beverages,400.0,4.0
Hotel Meed Cafe,btm,"north indian, south indian",250.0,3.2
Karavali Lunch Home,btm,kerala,200.0,3.3
Sri Udupi Sagar,btm,south indian,200.0,3.5
Hot Burg,btm,"fast food, juices",300.0,3.5
Ande Ka Funda,btm,"north indian, fast food, rolls",250.0,2.8
Desi Adda,btm,"north indian, chinese",300.0,3.3
Basawa Hotel,btm,south indian,250.0,3.4
Friend's Kitchen,btm,"south indian, chinese",150.0,3.5
South Side,btm,"south indian, beverages",250.0,3.3
Barkat,btm,kerala,250.0,3.4
C K Bake & Juice,btm,"juices, street food",150.0,3.1
Hotel Mirchi Red,btm,"north indian, chinese",400.0,3.0
SGS Non Veg - Gundu Pulav,btm,"biryani, fast food",400.0,3.6
Gallop Bar - Davanam Sarovar Portico Suites,koramangala 2nd block,finger food,1600.0,3.5
Bombay Adda,koramangala 7th block,modern indian,1100.0,4.5
The Reservoire,koramangala 5th block,"continental, north indian, chinese, american, pizza, finger food",1300.0,4.5
Indigo XP,koramangala 5th block,"finger food, continental, asian, north indian",1400.0,4.3
Fenny's Lounge And Kitchen,koramangala 7th block,"mediterranean, pizza, continental, seafood, salad",1600.0,4.5
Sharief Bhai,koramangala 5th block,"mughlai, biryani",700.0,4.3
ECHOES Koramangala,koramangala 5th block,"chinese, american, continental, italian, north indian",750.0,4.7
Chianti,koramangala 5th block,italian,1500.0,4.7
Drava,koramangala 5th block,"pizza, continental, north indian, asian",1500.0,4.4
The Terrace at Gilly's Redefined,koramangala 4th block,"continental, finger food, asian, north indian",1400.0,4.6
The Boozy Griffin,koramangala 5th block,"european, continental",1800.0,4.6
Simon Says Brew Works,koramangala 5th block,"continental, american, italian, modern indian, pizza, burger",1400.0,4.5
Myu Bar at Gilly's Redefined,koramangala 4th block,"american, north indian, pizza, finger food, continental, italian",1200.0,4.4
Kobe Sizzlers,koramangala 5th block,"american, continental, fast food, steak",1000.0,4.1
Public - The Rooftop Bar And Kitchen,bannerghatta road,"north indian, south indian, andhra, chinese",1000.0,4.3
Al-Bek,jayanagar,"north indian, mughlai, chinese, seafood",650.0,3.9
Shanmukha,jayanagar,"biryani, andhra, north indian, chinese",800.0,4.4
Chinita Real Mexican Food,koramangala 5th block,mexican,1200.0,4.5
Karama Restaurant,koramangala 5th block,"arabian, north indian, beverages",750.0,4.1
Sathya's,koramangala 3rd block,"north indian, chinese",1200.0,4.1
Rajdhani Thali Restaurant,koramangala 7th block,north indian,900.0,4.0
Chung Wah,koramangala 5th block,"chinese, thai, momos, vietnamese",800.0,4.0
Mani's Dum Biryani,koramangala 5th block,"biryani, kebab",750.0,3.9
Tilt Gastro Lounge,koramangala 5th block,"continental, american, north indian, chinese",1500.0,4.1
52 Wall Street,koramangala 6th block,"american, continental, finger food",1400.0,3.9
Bulls N Bears - Bar Trade Xchange,koramangala 5th block,"finger food, north indian, continental, pizza",1000.0,3.9
Sutra Spice-The Resto Bar,koramangala 4th block,"south indian, andhra",1000.0,3.9
Smoke - The Sizzler House,koramangala 7th block,"continental, chinese, thai, italian, bbq, steak",1100.0,4.0
JukeBox,koramangala 7th block,"continental, parsi, chinese, north indian, italian, steak",1000.0,3.9
Sherlock's Pub,koramangala 5th block,"continental, north indian, chinese",1300.0,3.9
Starbucks,jp nagar,"cafe, desserts",700.0,4.2
Lounge 189,hsr,"continental, italian",1300.0,3.8
Axomi - Taste of Assam,koramangala 7th block,assamese,500.0,4.0
Mavalli Tiffin Room (MTR),jp nagar,south indian,300.0,4.1
Uttar Karnataka Meals Restaurant,jayanagar,south indian,200.0,3.7
Leon Grill,koramangala 5th block,"burger, turkish, arabian, fast food, salad, healthy food, desserts",500.0,4.3
IDC Kitchen,koramangala 5th block,south indian,200.0,4.2
The Underground Gastropub,koramangala 5th block,finger food,1000.0,3.0
New Prashanth Hotel,hsr,"south indian, biryani, chinese, north indian",750.0,3.1
Burger King,koramangala 7th block,"burger, fast food, beverages",600.0,3.9
Fandom at Gilly's Redefined,koramangala 4th block,finger food,1500.0,3.8
Atta Galata,koramangala 5th block,"bakery, fast food",200.0,4.1
Drunken Monkey,jp nagar,"beverages, fast food",400.0,3.7
Mizo Kitchen,koramangala 5th block,"north eastern, chinese",400.0,3.8
Barcode,koramangala 4th block,"south indian, north indian",1300.0,3.8
Udupi Upahar,koramangala 7th block,"south indian, north indian, chinese",300.0,3.6
Amaravathi Bar & Restaurant,jayanagar,"north indian, chinese, seafood",400.0,3.7
Chetty's Corner,koramangala 5th block,"fast food, burger",200.0,3.8
Taruni Andhra Mess,koramangala 5th block,andhra,200.0,3.6
Flavor of Tibet,koramangala 5th block,tibetan,400.0,4.0
New Ambur Biryani,koramangala 7th block,biryani,150.0,3.2
Nammura Upahara,jp nagar,south indian,100.0,3.8
Donne Biriyani House,jayanagar,"biryani, andhra, kebab",400.0,3.5
Polar Bear,jayanagar,"ice cream, desserts, beverages, sandwich",400.0,3.8
Raghavendra Upahara,jayanagar,south indian,200.0,3.7
Selfie Cafe,koramangala 7th block,"beverages, fast food, desserts",300.0,3.7
The Golden Spoon Restaurant Meat & Wine,koramangala 7th block,"chinese, north indian",1000.0,3.5
Amrit,jp nagar,"north indian, seafood",600.0,3.4
Shiv Sagar,koramangala 7th block,"chinese, north indian, fast food, street food",500.0,3.9
Tasty Bites,jp nagar,north indian,450.0,3.8
A Bar,hsr,"north indian, continental",600.0,3.3
Tibbs Frankie,koramangala 7th block,"street food, rolls",200.0,3.5
Coconadu,koramangala 7th block,"kerala, konkan",400.0,3.7
SLV Restaurant,jp nagar,"south indian, north indian, chinese",300.0,4.2
Udupi Grand,koramangala 7th block,"south indian, north indian, chinese",300.0,2.8
CHAAI BEE,koramangala 7th block,"beverages, fast food, street food",250.0,3.5
Cool Lassi Burger,koramangala 5th block,"beverages, fast food, burger",200.0,3.1
Malnad Military Hotel,koramangala 7th block,"south indian, chinese",500.0,3.8
Sri Vinayaka Andhra Mess,koramangala 5th block,andhra,300.0,3.3
Bakimo,koramangala 5th block,continental,850.0,3.5
Daily Bread,koramangala 4th block,"bakery, fast food, italian",600.0,2.8
Desi Dhaba,koramangala 7th block,"north indian, chinese, rolls",300.0,3.7
Sri Krishna Sagar,koramangala 7th block,south indian,300.0,3.5
Malabar Coastal Cuisine,koramangala 7th block,kerala,550.0,3.6
Chai Chowk,koramangala 7th block,"chinese, fast food",200.0,3.8
Hotel Paradise,jayanagar,fast food,200.0,3.3
Waikiki,jp nagar,"fast food, beverages",200.0,3.2
H3O,koramangala 4th block,"north indian, chinese",1000.0,3.3
Ambur Biryani Hotel,koramangala 1st block,biryani,200.0,3.2
Shree Nandini Andhra Mess,koramangala 5th block,andhra,150.0,3.3
Juice Buzz,jp nagar,juices,200.0,3.1
Falafel's - The Lebanese Haus,koramangala 7th block,lebanese,300.0,2.9
Dadaba's,jayanagar,fast food,300.0,3.3
Cafe Bollywood,jp nagar,street food,200.0,3.4
Cool Point,koramangala 5th block,"juices, fast food",100.0,3.2
Fahad Hotel,jayanagar,fast food,200.0,3.3
Combo King Paramount,jayanagar,"chinese, kerala",500.0,3.1
Krupa Sagar,koramangala 5th block,"north indian, south indian, chinese, street food",300.0,3.2
Egg House,koramangala 5th block,"continental, italian, fast food",400.0,2.9
Dry Dock Cafe,koramangala 5th block,"street food, tea",200.0,3.6
Rolls On Wheel,koramangala 5th block,"fast food, rolls",300.0,3.0
Chowk Tea Stall,koramangala 7th block,"street food, tea",100.0,3.4
Jayanthi Sagar,koramangala 5th block,"south indian, north indian, chinese",200.0,3.1
Biryani Point,bommanahalli,biryani,250.0,3.2
Kakal-Kai Ruchi,jp nagar,"fast food, north indian, chinese, south indian",400.0,3.8
Sulaimani Chai,koramangala 5th block,"fast food, beverages",100.0,3.8
Khan Saheb Grills and Rolls,hosur road,"fast food, rolls",350.0,3.8
Sri Ganesh Juice Corner,koramangala 5th block,"juices, fast food",150.0,3.0
Mynt - The Taj West End,race course road,"italian, north indian, lebanese",2500.0,4.1
Coastal Creek,vasanth nagar,"north indian, continental, south indian",600.0,3.3
Starbucks,church street,"cafe, desserts",700.0,4.1
Cafe Coffee Day The Square,lavelle road,cafe,1100.0,4.1
BanBay,vasanth nagar,"cafe, modern indian, pizza, burger, desserts",1100.0,4.0
Smally's Resto Cafe,ulsoor,"cafe, italian, burger, american, steak",650.0,4.1
Domino's Pizza,shanti nagar,"pizza, fast food",400.0,3.7
Pathaan Sir,indiranagar,"fast food, rolls, momos",250.0,3.3
Meghana Foods,residency road,"biryani, seafood, andhra, north indian",600.0,4.3
Sweet Truth,vasanth nagar,"bakery, desserts",500.0,3.7
WOW! Momo,brigade road,"tibetan, momos",400.0,3.7
McDonald's,ulsoor,"burger, fast food",500.0,3.8
Lassi Shop,church street,"beverages, ice cream",200.0,3.9
Keventers,commercial street,"desserts, beverages, ice cream",400.0,3.8
Caferia,frazer town,"fast food, street food",200.0,3.3
Maravanthe,indiranagar,"seafood, mangalorean",1000.0,4.4
Hatti Kaapi,brigade road,"south indian, beverages",200.0,3.9
Subway,brigade road,"healthy food, fast food",500.0,3.3
Kanti Sweets,cunningham road,"mithai, street food",400.0,3.6
Mangalore pearl - Seafood Restaurant,frazer town,"mangalorean, seafood",700.0,4.3
Gelato Italiano,ulsoor,"ice cream, bakery, desserts",200.0,2.9
Chung's Chinese Corner,indiranagar,chinese,700.0,2.7
Chai Point,cunningham road,"tea, beverages, fast food",250.0,3.8
Zaks Mediterranean Cuisine,frazer town,"mediterranean, arabian, lebanese",700.0,3.9
Mad Over Biryani,church street,"north indian, biryani",600.0,2.9
Fullyfilled,indiranagar,"sandwich, fast food, momos",200.0,4.0
The Yogisthaan Cafe,indiranagar,"cafe, healthy food, salad, beverages",600.0,4.2
Millers 46,vasanth nagar,"american, continental, steak",1100.0,4.4
Samrat Restaurant,race course road,"south indian, north indian",600.0,4.1
CAMP TANDOOR,ulsoor,north indian,300.0,3.7
Raidan Restaurant,frazer town,"arabian, chinese, fast food",600.0,3.9
Nandhini Deluxe,frazer town,north indian,600.0,3.6
Aroma Of Asia,frazer town,"fast food, momos",400.0,3.9
Rolls On Wheels,cunningham road,"fast food, rolls, momos",200.0,3.7
Grand Spicy Restaurant,cunningham road,"north indian, mughlai, chinese",700.0,3.6
Lickity Garden,frazer town,"continental, mexican, biryani, italian, chinese, arabian, steak",750.0,3.2
China Hut,frazer town,chinese,500.0,3.8
Shanthi Sagar Deluxe,frazer town,"south indian, north indian, fast food",500.0,2.7
Spicy Restaurant,vasanth nagar,"north indian, chinese",400.0,3.0
Kinara Tiffany,vasanth nagar,south indian,100.0,3.6
Painted Platters,ulsoor,"bakery, desserts",300.0,3.9
Little Paramount Restaurants,vasanth nagar,"mughlai, north indian",400.0,3.6
Goli Vada Pav NO.1,mg road,street food,200.0,3.4
Baskin Robbins,vasanth nagar,"ice cream, desserts",250.0,3.1
Khan Saheb Grills and Rolls,commercial street,"fast food, rolls",350.0,3.9
Cafe Coffee Day,lavelle road,"cafe, fast food",650.0,2.9
Rotti Mane,indiranagar,south indian,200.0,3.6
Sunny Side Bistro,frazer town,"cafe, continental",700.0,3.8
Kadamba Foodline,ulsoor,"chinese, north indian, south indian, street food",400.0,3.7
Chung Wah,frazer town,"chinese, thai, momos, vietnamese",800.0,3.9
Ganesh Food Joint,frazer town,"south indian, north indian, chinese",200.0,3.7
A2B - Adyar Ananda Bhavan,ulsoor,"south indian, north indian, chinese, street food, fast food",400.0,2.9
Tasty King,rt nagar,"south indian, north indian, chinese",400.0,3.4
Lazeez Xpress,vasanth nagar,"north indian, mughlai, biryani",650.0,3.4
Chowmein,seshadripuram,"north indian, chinese, thai, momos",600.0,4.0
Curries And Pickles,indiranagar,"andhra, north indian, biryani",250.0,3.8
Arina's,frazer town,"fast food, chinese",250.0,3.3
Desi Vdesi,church street,"fast food, north indian, rolls",250.0,3.9
Debby's Kitchen,frazer town,"modern indian, american, chinese",250.0,3.6
Baskin Robbins,church street,"ice cream, desserts",250.0,3.5
Keventers,lavelle road,"desserts, beverages, ice cream",400.0,3.9
Sreeraj Lassi Bar,shivajinagar,"beverages, desserts",150.0,3.9
Sri Rama Vilas Sweets,majestic,"mithai, desserts",150.0,3.8
KC Das - Sweet Bite,frazer town,"mithai, street food",200.0,3.5
Shilpa Gulati's Desserts,cunningham road,bakery,600.0,3.6
The Bakery World,frazer town,"bakery, desserts",250.0,3.2
Pizza Hut,church street,"pizza, fast food",750.0,3.7
Watson's,ulsoor,"finger food, salad, chinese, continental",1300.0,4.2
New Hilal Restaurant,shivajinagar,"north indian, chinese, mughlai",550.0,4.0
WOW Momo,mg road,"tibetan, momos",400.0,3.5
McDonald's,mg road,"burger, fast food",500.0,3.9
Burger King,commercial street,"burger, fast food, beverages",600.0,3.9
Blue Ginger - The Taj West End,race course road,vietnamese,3200.0,4.4
Masala Klub - The Taj West End,race course road,"north indian, south indian",4000.0,4.4
Blue Bar - The Taj West End,race course road,continental,2500.0,4.0
Gangotree,race course road,street food,150.0,3.8
Shahi Kabab,frazer town,rolls,200.0,3.8
Calcutta Chats,vasanth nagar,north indian,200.0,3.6
Halli Mane Food Court,frazer town,south indian,100.0,3.5
Kerala Foods,vasanth nagar,kerala,250.0,3.5
Calcutta Chats,vasanth nagar,"street food, north indian",200.0,3.5
Lobby Cafe - Radha Regent,electronic city,"continental, american, south indian, italian, north indian, chinese",1200.0,3.7
The Big Barbeque,electronic city,"bbq, north indian, continental, chinese",1500.0,4.7
Fire Station,electronic city,"continental, mexican, burger, desserts, italian, pizza, north indian, chinese",1200.0,4.4
Barbeque Nation,electronic city,"north indian, european, mediterranean, bbq, kebab",1600.0,4.3
Onesta,electronic city,"pizza, cafe, italian",600.0,4.5
Time Traveller - Sai Vishram,electronic city,"continental, north indian, south indian, chinese",1100.0,4.2
24@43 - The Oterra,electronic city,"north indian, asian, continental",3000.0,4.1
Citrus Cafe - Lemon Tree Hotel,electronic city,"north indian, continental, south indian",2200.0,3.9
Keys Cafe - Keys Hotel,electronic city,"chinese, continental, north indian",1200.0,3.8
Bazaar - Zone By The Park,electronic city,"continental, south indian, north indian, asian",1400.0,4.0
Fishing Boat - Hotel Goyal Residency,electronic city,"seafood, north indian, chinese, biryani",800.0,3.9
Soul Indian Specialty - Svenska Design Hotel,electronic city,"north indian, south indian, asian, italian, continental",2000.0,3.7
Melange - Hotel Ekaa,electronic city,"north indian, chinese, continental, mangalorean",900.0,3.2
Spotlight - The Golden Tulip,electronic city,"north indian, chinese, continental",850.0,2.5
